comment_id,match_id,platform,days_before_match,comment_date,text,category,is_controversy_match,sentiment_score,sentiment_class
CM000001,M001,YouTube,0,2026-06-15,"Brazil to win it all, calling it now!",pos,False,0.6239,Positive
CM000002,M001,Instagram,3,2026-06-12,"Heading to Lusail Stadium this weekend, first time at a match like this.",neu,False,0.3612,Positive
CM000003,M001,YouTube,4,2026-06-11,"The atmosphere at Lusail Stadium is going to be insane, so hyped!",pos,False,-0.4574,Negative
CM000004,M001,YouTube,1,2026-06-14,"Argentina fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000005,M001,TikTok,1,2026-06-14,"This lineup for Brazil is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000006,M001,YouTube,5,2026-06-10,"Queues to get into Lusail Stadium took over an hour, really needs sorting out.",logi,False,0.0,Neutral
CM000007,M001,YouTube,3,2026-06-12,"Why does Brazil vs Argentina cost double the group stage matches, feels like a cash grab.",price,False,0.3612,Positive
CM000008,M001,TikTok,3,2026-06-12,"Brazil to win it all, calling it now!",pos,False,0.6239,Positive
CM000009,M001,Facebook,2,2026-06-13,"Ticket prices for Brazil vs Argentina are honestly outrageous, pricing out real fans.",price,False,0.0,Neutral
CM000010,M001,Instagram,1,2026-06-14,"The atmosphere at Lusail Stadium is going to be insane, so hyped!",pos,False,-0.4574,Negative
CM000011,M001,YouTube,2,2026-06-13,"Watching Brazil vs Argentina with the whole family, can't wait!",pos,False,0.0,Neutral
CM000012,M001,YouTube,3,2026-06-12,"Why does Brazil vs Argentina cost double the group stage matches, feels like a cash grab.",price,False,0.3612,Positive
CM000013,M001,Facebook,0,2026-06-15,Best ticket price I've seen all tournament for Brazil vs Argentina!,pos,False,0.6696,Positive
CM000014,M001,Facebook,1,2026-06-14,"This lineup for Brazil is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000015,M001,Facebook,5,2026-06-10,"Can't wait for Brazil vs Argentina, this is going to be electric!",pos,False,0.0,Neutral
CM000016,M001,Instagram,0,2026-06-15,"Watching Brazil vs Argentina with the whole family, can't wait!",pos,False,0.0,Neutral
CM000017,M001,TikTok,1,2026-06-14,"Argentina fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000018,M001,TikTok,0,2026-06-15,"This lineup for Brazil is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000019,M001,TikTok,0,2026-06-15,"Watching Brazil vs Argentina with the whole family, can't wait!",pos,False,0.0,Neutral
CM000020,M001,TikTok,0,2026-06-15,"Transit to Lusail Stadium was a nightmare last time, hope they fix it for Brazil vs Argentina.",logi,False,0.4404,Positive
CM000021,M001,YouTube,2,2026-06-13,"This lineup for Brazil is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000022,M001,TikTok,1,2026-06-14,"That highlight reel from the last match gave me chills, let's go Brazil!",pos,False,0.4003,Positive
CM000023,M001,X (Twitter),2,2026-06-13,"That highlight reel from the last match gave me chills, let's go Brazil!",pos,False,0.4003,Positive
CM000024,M001,Facebook,6,2026-06-09,"Just got my tickets for Brazil vs Argentina, best day ever!",pos,False,0.6696,Positive
CM000025,M001,TikTok,0,2026-06-15,"Can't wait for Brazil vs Argentina, this is going to be electric!",pos,False,0.0,Neutral
CM000026,M001,X (Twitter),1,2026-06-14,"Brazil to win it all, calling it now!",pos,False,0.6239,Positive
CM000027,M001,X (Twitter),1,2026-06-14,"That highlight reel from the last match gave me chills, let's go Brazil!",pos,False,0.4003,Positive
CM000028,M001,TikTok,1,2026-06-14,Curious how Brazil lines up against Argentina this time.,neu,False,0.3182,Positive
CM000029,M001,TikTok,5,2026-06-10,What's the weather looking like for Brazil vs Argentina at Lusail Stadium?,neu,False,0.3612,Positive
CM000030,M001,Instagram,5,2026-06-10,"Just got my tickets for Brazil vs Argentina, best day ever!",pos,False,0.6696,Positive
CM000031,M001,X (Twitter),2,2026-06-13,"Argentina fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000032,M001,Facebook,0,2026-06-15,"Brazil are looking unstoppable this tournament, so proud!",pos,False,0.5398,Positive
CM000033,M001,X (Twitter),3,2026-06-12,"Watching Brazil vs Argentina with the whole family, can't wait!",pos,False,0.0,Neutral
CM000034,M001,X (Twitter),0,2026-06-15,"Ticket prices for Brazil vs Argentina are honestly outrageous, pricing out real fans.",price,False,0.0,Neutral
CM000035,M001,TikTok,2,2026-06-13,"Heading to Lusail Stadium this weekend, first time at a match like this.",neu,False,0.3612,Positive
CM000036,M001,Instagram,4,2026-06-11,"This lineup for Brazil is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000037,M001,Facebook,2,2026-06-13,Anyone know the kickoff time for Brazil vs Argentina?,neu,False,0.0,Neutral
CM000038,M001,X (Twitter),4,2026-06-11,"Brazil are looking unstoppable this tournament, so proud!",pos,False,0.5398,Positive
CM000039,M001,X (Twitter),3,2026-06-12,"Transit to Lusail Stadium was a nightmare last time, hope they fix it for Brazil vs Argentina.",logi,False,0.4404,Positive
CM000040,M001,TikTok,5,2026-06-10,Curious how Brazil lines up against Argentina this time.,neu,False,0.3182,Positive
CM000041,M001,X (Twitter),5,2026-06-10,What's the weather looking like for Brazil vs Argentina at Lusail Stadium?,neu,False,0.3612,Positive
CM000042,M001,YouTube,1,2026-06-14,"Argentina fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000043,M001,TikTok,2,2026-06-13,"Can't wait for Brazil vs Argentina, this is going to be electric!",pos,False,0.0,Neutral
CM000044,M001,Instagram,5,2026-06-10,"Brazil are looking unstoppable this tournament, so proud!",pos,False,0.5398,Positive
CM000045,M001,X (Twitter),0,2026-06-15,Anyone know the kickoff time for Brazil vs Argentina?,neu,False,0.0,Neutral
CM000046,M001,YouTube,1,2026-06-14,"Argentina fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000047,M001,TikTok,4,2026-06-11,Watching the Brazil vs Argentina preview show right now.,neu,False,0.0,Neutral
CM000048,M001,Instagram,6,2026-06-09,"That highlight reel from the last match gave me chills, let's go Brazil!",pos,False,0.4003,Positive
CM000049,M001,Facebook,1,2026-06-14,Watching the Brazil vs Argentina preview show right now.,neu,False,0.0,Neutral
CM000050,M001,Instagram,0,2026-06-15,"That highlight reel from the last match gave me chills, let's go Brazil!",pos,False,0.4003,Positive
CM000051,M001,Facebook,0,2026-06-15,What's the weather looking like for Brazil vs Argentina at Lusail Stadium?,neu,False,0.3612,Positive
CM000052,M001,TikTok,2,2026-06-13,"Just got my tickets for Brazil vs Argentina, best day ever!",pos,False,0.6696,Positive
CM000053,M001,Instagram,1,2026-06-14,"Argentina fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000054,M001,Facebook,4,2026-06-11,"Can't wait for Brazil vs Argentina, this is going to be electric!",pos,False,0.0,Neutral
CM000055,M001,Instagram,0,2026-06-15,"Argentina fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000056,M001,X (Twitter),1,2026-06-14,Feels like Brazil are being treated unfairly by officials again this tournament.,contro,False,0.3612,Positive
CM000057,M001,Facebook,4,2026-06-11,Best ticket price I've seen all tournament for Brazil vs Argentina!,pos,False,0.6696,Positive
CM000058,M001,X (Twitter),7,2026-06-08,"Brazil are looking unstoppable this tournament, so proud!",pos,False,0.5398,Positive
CM000059,M001,Facebook,3,2026-06-12,Anyone know the kickoff time for Brazil vs Argentina?,neu,False,0.0,Neutral
CM000060,M001,X (Twitter),6,2026-06-09,"Ticket prices for Brazil vs Argentina are honestly outrageous, pricing out real fans.",price,False,0.0,Neutral
CM000061,M001,Instagram,1,2026-06-14,"This lineup for Brazil is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000062,M001,Facebook,2,2026-06-13,"Can barely afford tickets anymore, prices have gone way too high this year.",price,False,0.0,Neutral
CM000063,M001,TikTok,1,2026-06-14,"Argentina fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000064,M002,Facebook,1,2026-06-14,"Just got my tickets for Netherlands vs USA, best day ever!",pos,False,0.6696,Positive
CM000065,M002,TikTok,6,2026-06-09,"Transit to Al Bayt Stadium was a nightmare last time, hope they fix it for Netherlands vs USA.",logi,False,0.4404,Positive
CM000066,M002,X (Twitter),2,2026-06-13,"Ticket prices for Netherlands vs USA are honestly outrageous, pricing out real fans.",price,False,0.0,Neutral
CM000067,M002,X (Twitter),3,2026-06-12,"The atmosphere at Al Bayt Stadium is going to be insane, so hyped!",pos,False,-0.4574,Negative
CM000068,M002,X (Twitter),2,2026-06-13,Curious how Netherlands lines up against USA this time.,neu,False,0.3182,Positive
CM000069,M002,Instagram,4,2026-06-11,"That highlight reel from the last match gave me chills, let's go Netherlands!",pos,False,0.4003,Positive
CM000070,M002,TikTok,5,2026-06-10,Anyone know the kickoff time for Netherlands vs USA?,neu,False,0.0,Neutral
CM000071,M002,Facebook,7,2026-06-08,Watching the Netherlands vs USA preview show right now.,neu,False,0.0,Neutral
CM000072,M002,X (Twitter),1,2026-06-14,"Can't wait for Netherlands vs USA, this is going to be electric!",pos,False,0.0,Neutral
CM000073,M002,Instagram,5,2026-06-10,"USA fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000074,M002,Instagram,5,2026-06-10,"Netherlands to win it all, calling it now!",pos,False,0.6239,Positive
CM000075,M002,X (Twitter),4,2026-06-11,"Queues to get into Al Bayt Stadium took over an hour, really needs sorting out.",logi,False,0.0,Neutral
CM000076,M002,TikTok,3,2026-06-12,"USA fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000077,M002,Facebook,7,2026-06-08,"The atmosphere at Al Bayt Stadium is going to be insane, so hyped!",pos,False,-0.4574,Negative
CM000078,M002,Facebook,0,2026-06-15,Best ticket price I've seen all tournament for Netherlands vs USA!,pos,False,0.6696,Positive
CM000079,M002,YouTube,1,2026-06-14,Best ticket price I've seen all tournament for Netherlands vs USA!,pos,False,0.6696,Positive
CM000080,M002,TikTok,6,2026-06-09,"Just got my tickets for Netherlands vs USA, best day ever!",pos,False,0.6696,Positive
CM000081,M002,X (Twitter),0,2026-06-15,"Watching Netherlands vs USA with the whole family, can't wait!",pos,False,0.0,Neutral
CM000082,M002,Facebook,3,2026-06-12,"Transit to Al Bayt Stadium was a nightmare last time, hope they fix it for Netherlands vs USA.",logi,False,0.4404,Positive
CM000083,M002,Facebook,3,2026-06-12,"That highlight reel from the last match gave me chills, let's go Netherlands!",pos,False,0.4003,Positive
CM000084,M002,X (Twitter),4,2026-06-11,Anyone know the kickoff time for Netherlands vs USA?,neu,False,0.0,Neutral
CM000085,M002,YouTube,7,2026-06-08,"Transit to Al Bayt Stadium was a nightmare last time, hope they fix it for Netherlands vs USA.",logi,False,0.4404,Positive
CM000086,M002,TikTok,2,2026-06-13,"Resale prices for Netherlands vs USA are out of control, scalpers ruining it for everyone.",price,False,-0.25,Negative
CM000087,M002,YouTube,2,2026-06-13,"This lineup for Netherlands is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000088,M002,Instagram,1,2026-06-14,"Ticket prices for Netherlands vs USA are honestly outrageous, pricing out real fans.",price,False,0.0,Neutral
CM000089,M002,TikTok,1,2026-06-14,Feels like Netherlands are being treated unfairly by officials again this tournament.,contro,False,0.3612,Positive
CM000090,M002,Instagram,1,2026-06-14,"USA fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000091,M002,X (Twitter),2,2026-06-13,"Just got my tickets for Netherlands vs USA, best day ever!",pos,False,0.6696,Positive
CM000092,M002,X (Twitter),3,2026-06-12,"Netherlands to win it all, calling it now!",pos,False,0.6239,Positive
CM000093,M002,Facebook,1,2026-06-14,"That highlight reel from the last match gave me chills, let's go Netherlands!",pos,False,0.4003,Positive
CM000094,M002,Instagram,3,2026-06-12,"Netherlands are looking unstoppable this tournament, so proud!",pos,False,0.5398,Positive
CM000095,M002,X (Twitter),5,2026-06-10,"USA fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000096,M002,Instagram,3,2026-06-12,"USA fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000097,M002,Facebook,7,2026-06-08,"The atmosphere at Al Bayt Stadium is going to be insane, so hyped!",pos,False,-0.4574,Negative
CM000098,M002,X (Twitter),3,2026-06-12,"Netherlands to win it all, calling it now!",pos,False,0.6239,Positive
CM000099,M002,TikTok,0,2026-06-15,"That highlight reel from the last match gave me chills, let's go Netherlands!",pos,False,0.4003,Positive
CM000100,M002,X (Twitter),1,2026-06-14,Feels like Netherlands are being treated unfairly by officials again this tournament.,contro,False,0.3612,Positive
CM000101,M002,Facebook,0,2026-06-15,"Resale prices for Netherlands vs USA are out of control, scalpers ruining it for everyone.",price,False,-0.25,Negative
CM000102,M002,X (Twitter),1,2026-06-14,"This lineup for Netherlands is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000103,M002,Instagram,3,2026-06-12,"Transit to Al Bayt Stadium was a nightmare last time, hope they fix it for Netherlands vs USA.",logi,False,0.4404,Positive
CM000104,M002,Facebook,7,2026-06-08,"This lineup for Netherlands is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000105,M002,Instagram,3,2026-06-12,Watching the Netherlands vs USA preview show right now.,neu,False,0.0,Neutral
CM000106,M002,Instagram,3,2026-06-12,"Can't wait for Netherlands vs USA, this is going to be electric!",pos,False,0.0,Neutral
CM000107,M002,YouTube,0,2026-06-15,"Ticket prices for Netherlands vs USA are honestly outrageous, pricing out real fans.",price,False,0.0,Neutral
CM000108,M002,YouTube,1,2026-06-14,"No clear signage getting to Al Bayt Stadium, missed kickoff because of it.",logi,False,-0.5242,Negative
CM000109,M003,Facebook,1,2026-06-15,"This lineup for Mexico is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000110,M003,TikTok,0,2026-06-16,"Heading to Ahmad Bin Ali this weekend, first time at a match like this.",neu,False,0.3612,Positive
CM000111,M003,X (Twitter),4,2026-06-12,"Mexico are looking unstoppable this tournament, so proud!",pos,False,0.5398,Positive
CM000112,M003,Instagram,4,2026-06-12,"This lineup for Mexico is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000113,M003,Instagram,2,2026-06-14,"This lineup for Mexico is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000114,M003,Facebook,0,2026-06-16,"Rumors swirling about Mexico's lineup changes, fans are not happy about it.",contro,False,-0.4585,Negative
CM000115,M003,YouTube,6,2026-06-10,"That refereeing decision in the last Mexico game was a disgrace, still fuming.",contro,False,-0.7845,Negative
CM000116,M003,Instagram,0,2026-06-16,"That highlight reel from the last match gave me chills, let's go Mexico!",pos,False,0.4003,Positive
CM000117,M003,Instagram,2,2026-06-14,"Can't wait for Mexico vs Netherlands, this is going to be electric!",pos,False,0.0,Neutral
CM000118,M003,X (Twitter),3,2026-06-13,"Heading to Ahmad Bin Ali this weekend, first time at a match like this.",neu,False,0.3612,Positive
CM000119,M003,Instagram,0,2026-06-16,"Resale prices for Mexico vs Netherlands are out of control, scalpers ruining it for everyone.",price,False,-0.25,Negative
CM000120,M003,YouTube,5,2026-06-11,"Netherlands fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000121,M003,TikTok,1,2026-06-15,"Can't wait for Mexico vs Netherlands, this is going to be electric!",pos,False,0.0,Neutral
CM000122,M003,X (Twitter),6,2026-06-10,"Mexico are looking unstoppable this tournament, so proud!",pos,False,0.5398,Positive
CM000123,M003,Facebook,3,2026-06-13,"The atmosphere at Ahmad Bin Ali is going to be insane, so hyped!",pos,False,-0.4574,Negative
CM000124,M003,YouTube,6,2026-06-10,"This lineup for Mexico is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000125,M003,X (Twitter),6,2026-06-10,Anyone know the kickoff time for Mexico vs Netherlands?,neu,False,0.0,Neutral
CM000126,M003,Facebook,5,2026-06-11,"The atmosphere at Ahmad Bin Ali is going to be insane, so hyped!",pos,False,-0.4574,Negative
CM000127,M003,YouTube,3,2026-06-13,"Netherlands fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000128,M003,YouTube,2,2026-06-14,"Queues to get into Ahmad Bin Ali took over an hour, really needs sorting out.",logi,False,0.0,Neutral
CM000129,M003,X (Twitter),0,2026-06-16,"Can't wait for Mexico vs Netherlands, this is going to be electric!",pos,False,0.0,Neutral
CM000130,M003,TikTok,0,2026-06-16,"Netherlands fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000131,M003,YouTube,0,2026-06-16,"Mexico to win it all, calling it now!",pos,False,0.6239,Positive
CM000132,M003,TikTok,0,2026-06-16,"Just got my tickets for Mexico vs Netherlands, best day ever!",pos,False,0.6696,Positive
CM000133,M003,X (Twitter),2,2026-06-14,"Why does Mexico vs Netherlands cost double the group stage matches, feels like a cash grab.",price,False,0.3612,Positive
CM000134,M003,Instagram,2,2026-06-14,"Watching Mexico vs Netherlands with the whole family, can't wait!",pos,False,0.0,Neutral
CM000135,M003,Facebook,1,2026-06-15,"Rumors swirling about Mexico's lineup changes, fans are not happy about it.",contro,False,-0.4585,Negative
CM000136,M003,TikTok,7,2026-06-09,"Queues to get into Ahmad Bin Ali took over an hour, really needs sorting out.",logi,False,0.0,Neutral
CM000137,M003,X (Twitter),4,2026-06-12,"Mexico are looking unstoppable this tournament, so proud!",pos,False,0.5398,Positive
CM000138,M003,YouTube,7,2026-06-09,Curious how Mexico lines up against Netherlands this time.,neu,False,0.3182,Positive
CM000139,M003,TikTok,2,2026-06-14,"Just got my tickets for Mexico vs Netherlands, best day ever!",pos,False,0.6696,Positive
CM000140,M003,Instagram,0,2026-06-16,"This lineup for Mexico is exactly what we needed, love it!",pos,False,0.6696,Positive
CM000141,M003,X (Twitter),4,2026-06-12,"The atmosphere at Ahmad Bin Ali is going to be insane, so hyped!",pos,False,-0.4574,Negative
CM000142,M003,Instagram,3,2026-06-13,"No clear signage getting to Ahmad Bin Ali, missed kickoff because of it.",logi,False,-0.5242,Negative
CM000143,M003,X (Twitter),0,2026-06-16,"Can barely afford tickets anymore, prices have gone way too high this year.",price,False,0.0,Neutral
CM000144,M003,Instagram,3,2026-06-13,"That refereeing decision in the last Mexico game was a disgrace, still fuming.",contro,False,-0.7845,Negative
CM000145,M003,X (Twitter),3,2026-06-13,What's the weather looking like for Mexico vs Netherlands at Ahmad Bin Ali?,neu,False,0.3612,Positive
CM000146,M003,Instagram,7,2026-06-09,"That highlight reel from the last match gave me chills, let's go Mexico!",pos,False,0.4003,Positive
CM000147,M003,Facebook,4,2026-06-12,"Can't wait for Mexico vs Netherlands, this is going to be electric!",pos,False,0.0,Neutral
CM000148,M003,X (Twitter),5,2026-06-11,"Can't wait for Mexico vs Netherlands, this is going to be electric!",pos,False,0.0,Neutral
CM000149,M003,TikTok,5,2026-06-11,"Why does Mexico vs Netherlands cost double the group stage matches, feels like a cash grab.",price,False,0.3612,Positive
CM000150,M003,Instagram,1,2026-06-15,"Netherlands fans travelling in huge numbers, respect for the support!",pos,False,0.8122,Positive
CM000151,M003,Instagram,5,2026-06-11,"Can barely afford tickets anymore, prices have gone way too high this year.",price,False,0.0,Neutral
CM000152,M003,Instagram,6,2026-06-10,"Can't wait for Mexico vs Netherlands, this is going to be electric!",pos,False,0.0,Neutral
CM000153,M003,TikTok,1,2026-06-15,"Mexico are looking unstoppable this tournament, so proud!",pos,False,0.5398,Positive
CM000154,M003,TikTok,5,2026-06-11,"Ticket prices for Mexico vs Netherlands are honestly outrageous, pricing out real fans.",price,False,0.0,Neutral
