city,segment,count
Ahmedabad,Casual Followers,128
Ahmedabad,Digital Browsers,246
Ahmedabad,Dormant / At-Risk,293
Ahmedabad,High Engagers,74
Ahmedabad,Super Fans,19
Bengaluru,Casual Followers,145
Bengaluru,Digital Browsers,241
Bengaluru,Dormant / At-Risk,275
Bengaluru,High Engagers,61
Bengaluru,Super Fans,25
Chennai,Casual Followers,130
Chennai,Digital Browsers,221
Chennai,Dormant / At-Risk,270
Chennai,High Engagers,81
Chennai,Super Fans,26
Delhi,Casual Followers,116
Delhi,Digital Browsers,223
Delhi,Dormant / At-Risk,256
Delhi,High Engagers,90
Delhi,Super Fans,33
Hyderabad,Casual Followers,134
Hyderabad,Digital Browsers,241
Hyderabad,Dormant / At-Risk,258
Hyderabad,High Engagers,72
Hyderabad,Super Fans,26
Kolkata,Casual Followers,134
Kolkata,Digital Browsers,251
Kolkata,Dormant / At-Risk,250
Kolkata,High Engagers,90
Kolkata,Super Fans,30
Mumbai,Casual Followers,141
Mumbai,Digital Browsers,224
Mumbai,Dormant / At-Risk,283
Mumbai,High Engagers,99
Mumbai,Super Fans,26
Pune,Casual Followers,135
Pune,Digital Browsers,233
Pune,Dormant / At-Risk,303
Pune,High Engagers,93
Pune,Super Fans,24
