post_id,match_id,platform,content_type,post_date,impressions,likes,shares,comments,video_views,engagement_rate
P00001,M012,Instagram,Meme/GIF,2026-06-20,25444,1477,201,307,0,0.078
P00002,M035,YouTube,Highlight Reel,2026-06-30,54143,3860,810,179,30251,0.0896
P00003,M016,TikTok,Match Preview,2026-06-19,36283,2800,330,220,0,0.0923
P00004,M022,TikTok,Behind the Scenes,2026-06-22,44505,3389,613,644,0,0.1044
P00005,M020,Instagram,Stadium Tour,2026-06-22,12167,619,164,164,4619,0.0778
P00006,M030,Instagram,Tactical Analysis,2026-06-27,12987,740,201,152,0,0.0842
P00007,M006,Instagram,Stadium Tour,2026-06-15,16748,674,153,71,6190,0.0536
P00008,M021,Instagram,Meme/GIF,2026-06-21,65420,4648,1293,783,0,0.1028
P00009,M031,YouTube,Highlight Reel,2026-06-30,84421,6174,1449,258,40045,0.0934
P00010,M042,X (Twitter),Live Score Update,2026-07-04,40113,2851,274,123,0,0.081
P00011,M026,TikTok,Tactical Analysis,2026-06-27,17287,832,224,140,0,0.0692
P00012,M011,TikTok,Stadium Tour,2026-06-17,36797,1991,246,467,8989,0.0735
P00013,M040,App Push,Live Score Update,2026-07-04,29346,1576,188,214,0,0.0674
P00014,M034,YouTube,Tactical Analysis,2026-06-28,4404,243,27,54,0,0.0736
P00015,M028,Instagram,Stadium Tour,2026-06-24,38091,2912,547,378,10826,0.1007
P00016,M046,TikTok,Live Score Update,2026-07-05,16799,823,108,142,0,0.0639
P00017,M027,X (Twitter),Highlight Reel,2026-06-28,53446,2591,1010,611,16214,0.0788
P00018,M014,App Push,Live Score Update,2026-06-20,70061,4573,662,738,0,0.0853
P00019,M001,TikTok,Match Preview,2026-06-12,34145,2527,313,209,0,0.0893
P00020,M003,YouTube,Tactical Analysis,2026-06-13,16714,959,124,81,0,0.0696
P00021,M003,App Push,Ticket Promo,2026-06-16,1944,81,24,20,0,0.0643
P00022,M045,X (Twitter),Ticket Promo,2026-07-06,14496,1111,173,155,0,0.0993
P00023,M022,X (Twitter),Tactical Analysis,2026-06-25,11652,612,123,113,0,0.0728
P00024,M005,Facebook,Player Interview,2026-06-17,35269,2241,178,373,13962,0.0792
P00025,M041,Instagram,Fan Poll,2026-07-03,43795,2614,414,232,0,0.0744
P00026,M042,TikTok,Fan Poll,2026-07-03,11869,490,184,79,0,0.0634
P00027,M039,Facebook,Live Score Update,2026-07-02,45706,2389,831,215,0,0.0752
P00028,M021,Facebook,Live Score Update,2026-06-25,13540,1040,244,188,0,0.1087
P00029,M024,X (Twitter),Match Preview,2026-06-24,26383,1532,314,388,0,0.0847
P00030,M036,YouTube,Fan Poll,2026-07-02,27499,1423,355,358,0,0.0777
P00031,M029,TikTok,Stadium Tour,2026-06-29,14407,971,155,90,6053,0.0844
P00032,M035,YouTube,Ticket Promo,2026-07-02,6768,337,58,42,0,0.0646
P00033,M037,X (Twitter),Fan Poll,2026-07-02,11313,574,133,51,0,0.067
P00034,M037,Instagram,Match Preview,2026-07-03,7198,351,124,86,0,0.0779
P00035,M012,YouTube,Ticket Promo,2026-06-16,13718,726,175,183,0,0.079
